REVIEW, RATING, USERNAME, USER LINK, DATE, SUPER-REVIEWER STATUS
 What is the internet coming to? If you need any further proof that the majority not all but the majority of very favorable reviews are totally fake. Just in the last few hours alone two positive reviews by members Jason U and Birger S are fishier than a 10 year old can of tuna. Click on their profiles and you will see all you need to know. "Sorry we couldn't find the page you were looking for".<br><br>For a movie that claims to be the ultimate cinematic experience about dealing with ones failures why are the makers of this film so stubborn to admit to making any mistakes at all with this fire dumpster? We can't even trust an impartial website like Rotten Tomatoes any more. Locking the audience score at 49% feels like outright censorship. I am also really amused at the mental gymnastics I see the media do to defend and justify why The Last Jedi didn't quite make the box office dollar numbers that were expected...yes it still made 1.3 billion (no one involved in making this will go hungry) but surely Disney understands that 1) A huge portion of the opening weekend numbers were earned from people like me who had tickets purchased 3 weeks before opening night hoping to see this sequel trilogy's "Empire Strikes Back". Had I any idea this was the movie I would see instead that purchase would not have been made 2) The movie would absolutely have gotten closer to Force Awakens numbers if it was more liked and had the repeat viewings the hardcore fans would have gladly given it. I was 100% prepared to go back and see this movie at least a second and maybe a third time if I was blown away by it. Instead I saw it once and once only felt flipped off by the makers not blown away wish I could have asked for a refund I will not be purchasing the Blu Ray and will not purchase another movie ticket for Disney's idea of this franchise. Again the near total avoidance of this obvious fact by the media defending the performance of this filth is really telling. <br><br>---<br><br>I had to make another comment today after seeing a couple of things on the web the last couple of days. 1) Joseph Gordon Levitt writing a 2000 word essay on why The Last Jedi works. Like seriously why am I being convinced to like this movie? Sorry JGL that is your opinion and this is mine TLJ does not work especially when it comes to Luke. I shouldn't have to watch the thing 3 times or be convinced by the media that I'm wrong. 2) Rian Johnson "putting all the haters" in their place by pulling out the book "The Jedi Path" and referencing a page where it explains that Jedi can do astral projection or whatever. Look that was never my criticism and I love Star Wars but I'm not up on the EU and hard notions of what is 'canon' when it comes to details like this. In my mind during the EU days if it didn't come from Lucas' mouth it was not Star Wars and I mostly ignored that stuff anyways. My problem is that I feel like that was simply the wrong story beat to give the character....but his character was already ruined by that point in the movie so it doesn't really matter to me what is canon or not when we get there. <br><br>And the constant 'gotchya!!' in this movie just pissed me off and left me with a headache. Cripes I can't believe they are calling themselves geniuses and bold when all they did was subvert subvert subvert at every corner. That is not creative it's just "you say black I say white". I could've written that slop. Rian will get paid more than I will ever be paid in 10 lifetimes for writing something anyone in high school drama class could write. It is not clever nor is it brilliant to just do the opposite of what I expect..in every...single...plot thread! NOT CREATIVE AT ALL!! YOU DID NOT CREATE ANYTHING. Here's the thing of course I want you to defy my expectations in some way of course I want surprises and new things that I did not see coming and could not have possibly imagined (pun unintended) on my own. That would have left me yelling "that effing rocked!!!" all the way to the cinema multiple times. But what I want to see in a movie like this are things I am not expecting in a positive creative way. As I've suggested I do not feel like mere subversion is particularly creative and in this case definitely not positive in most places.<br><br>And I just can't let slide the fact that I am getting an anti-capitalist "people with money are evil" message from who? A megalithic multi media corporation worth many many billions of dollars who recently gobbled up just about every bit of current pop culture IP that exists to have complete and total control of. Wow. Facetious much? No more money will I spend on this incarnation of SW.<br><br>I will always cherish my Episodes 1 - VI that will be the Star Wars experience for me and my future family (thank you George Lucas for your beautiful cinematic gifts that never gets old). It is clear the only voice I have left that will be taken seriously is in my wallet and I will use it (or not use it in this case) loud and clear when Solo Episode IX and whatever else is released from Disney under the SW moniker hits the streets. This is not my Star Wars to those who love it enjoy. <br><br>Remember everyone if you don't like this movie you are wrong!<br><br>Peace! <br><br>Original 'review':<br><br>Quick update to my 'review'. Changed star rating to 1 1/2 because I saw a comment that 1/2 star ratings don't count. And on that note 49%? Really? Do I have stupid stamped on my forehead? The media protection of this awfully constructed SW movie is absolutely glaring.<br><br>I am getting tired of being labeled a misogynist because I do not like this film. My favorite movie critic Roger Ebert had this to say about judging movies "A movie is not what it's about it's about how it's about it". On that note it's not the fact that Rey is female I love that idea...that is taking SW in a new direction lovely! The fact that she is the most powerful Jedi without any help or training? That's the "how it's about it" part that this movie fails horribly at. <br><br>At the end of the day I could take all of that except my flavor of Star Wars does not mirror my world...this is where I go to 'escape'. Hard to escape when the galaxy far far away is now only concerned with reminding me of what's going on in my own galaxy. This also ages these films terribly. <br><br>And for the record I do not agree whatsoever with the morons who did the "female free" cut of TLJ on the web. That is just a ridiculous manbaby thing to do that just diminishes the honest arguments decent people have against this film which go far beyond just the feminist messages.<br><br>Original Comments: <br><br>What I had hoped to see from this new trilogy is a passing of the torch. However the approach I am witnessing is not a passing of the torch rather an extinguishing (more like violent drowning) of the old rickety un-edgy torch and lighting some new edgier torch and calling it Star Wars. Wildly disappointed I have no interest in Episode IX at all I am done I do not care one iota what J.J. tries to do. Any attempt at 'redemption' of the subversive plot choices of this film would come across as more contrived than the lazy subversive contrivances here. What's J.J. going to do? Bring Snoke back from the dead? There is no way you could do that that wouldn't be completely ridiculous. Likewise you killed Luke so please just leave him dead. Of course bring him back as a force ghost for an appearance if you want but you've already destroyed his final appearance and influence in the universe 'in the flesh' so don't try to redeem that choice by doing something completely ludicrious with Luke from beyond (ala Yoda summoning lighting). Not that I care because I simply do not want to see Episode IX at all. I'm just saying if you tried to do those ridiculous things it would not bring me back on account of said ridiculousness.<br><br>One more thing I am pretty certain we were all to assume that Luke reached out to R2 at the end of "The Force Awakens" through the Force to allow him to complete the map and invite Rey to come to him. Any other explanation for R2 waking up then is extreme eye rolling deus ex machina / coincidence. And then comes TLJ and tells us Luke has been cut off from the Force for ages so it must be some other contrivance that awoke R2.....please.<br><br>I really liked Rian's work on Breaking Bad (where this subversive style fit much better) and Looper but this feels like he just couldn't get out of his own rug-pulling way on this one. Pull a rug from under me once it might be a genuinely thrilling cinematic surprise pull every single rug in the house from under me and I'm just left annoyed and insulted. <br><br>IMHO, 2.0,  Base C, https://www.rottentomatoes.com/user/id/971648402/, January 29 2018, 
 I thought this was excellent and I do not understand all the hate it receives. It Honored the original Trilogy but also brought fresh twists. This movie had me from start to finish. Everything about it was great. I cannot praise this movie enough. If you havnt seen it yet WHAT ARE YOU WAITING FOR?!?! Go see it., 5.0,  Sean S, https://www.rottentomatoes.com/user/id/857766571/, January 29 2018, 
 "1/2 star and voting " not Interested not included into the RT totals "<br><br>The system for the voting % here on Rotten Tomatos a score of " 1/2 star " or " not interested " is not included into RT tracking system ??<br><br>I read that and wanted to make sure my vote is included so moved up from 1/2 a start to 1 star... still negative but I hope will add to the totals.<br><br>I see now it is 48% a move in the right direction but still not accurate.<br><br>This is a new low for me as a person. I am the sort of person that encourages people I give praise to people I try to motivate I try never to be a negative person or see anyone or anything in a bad light I dont put people down. But with this movie I am very happy to see it fall and I do hope the % falls much much lower so Kathllen Kennedy and Ryan Johnson get it through their heads that this is not a few..."butt hurt fans" crying the blues.... but the vast majority that cant stand this train wreck movie.<br><br>You people giving 5 star reviews with no explantions are funny. if your happy fooling yourself all the power to you but your not fooling anyone else. If you legitimately like this movie why cant you say anything beyond " wow great movie ! Best ever ! " Or some such nonsense why not list point by point what you liked fill us in as most of us obviously did not see what you did.<br><br>Wow.... <br><br>I saw a comment that indicated Ryan and Kathleen are belittle any person that does not " get the great wonderful message " that is in the movie. We are called "racists misogynists old and out of touch and 2 steps below retard " I suppose this would have validity if it was only "stupid old white angry women hating men" making comments and videos about this movie. If you take the time to see youtube videos you find young old asian black women men intelectuals and blue colar...all with a negative opinion. <br><br>All the people hating this movie do not fit into the same demographic. <br><br>Its actualy insulting.<br><br>What is the problem with Kathleen Kennedy and Ryan Johnson and Disney not coming forward to say " wow we made a mistake we fucked up we are so sorry" Shame on all of you for not letting go of your pride to do the honest thing and step forward and say you made a mistake. <br><br>Is it more honorable ...to try to pass the blame onto the fans and try to make them think there is something wrong with them for not loving this movie to death.<br><br>Thats about as twisted and narcissistic as it gets.<br><br>So the great messages in the movie that come to mind for me upon reflection are as follows.<br><br>Lets start with Luke. The great message is <br><br>" if you fail....abandon your family your friends everything you care about and ...run away and hide in shame..forever as a coward "<br><br>wow... great message.<br><br>Rey the great message here....<br><br>Everything should be easy you should not need education expierence or training you should be 100% perfect and get everything you want...... just because you are entitiled.<br><br>We need more people to feel they are owed everything? No more start at the bottom and work your way up? just start at the top ?<br><br>The casino planet message is...<br><br>"All weathy people are evil and can not be trusted..."<br><br>This is funny...I laughed when I thought about the idiocy of this part of the movie. Disney executives and Kathleen Kennedy make more money in one day than you and I  and likely 98% of the people reading this will make in 1 year. But they would have us think...they are not part of the wealthy elite..and thus...are not the bad people similar to the rich people portrayed in the movie ? <br><br>Give me a break.<br><br>Social messages horrible writting idiotic humor lazy character development. I found I could not care if any of the characters lived or died as I watched the movie...I was numb from the sheer stupidity.<br><br>How was this ever given a green light for approval on the script and for filming? I have no clue how it survivedthe edit process....I think i would have cut out 95% of the movie. I am at a loss it is so horrible and no one at disney picked up on it and said " oh..my god.... " and stoped it before it was released. The only thing " star wars" about this movie is its name.<br><br>It is all to obvious Disney and Kathleen Kennedy must have thought star wars fans are stupid and will buy into whatever shit they give to us because it is " star wars ". <br><br>Fool me once shame on you fool me twice shame on me.<br><br>Disney and Lucas films need to decide on some new leadership in regards to the direction of star wars. Because if this is the new way to do things the days of big money returns for anything star wars will be long long gone. <br><br>What a waste., 1.0,  Ted W, https://www.rottentomatoes.com/user/id/977044591/, January 29 2018, 
 This is a bad movie there's no hiding it. Shame so many critics were payed to give a good review., 0.5,  Colin D, https://www.rottentomatoes.com/user/id/977080441/, January 29 2018, 
 Absolutely terrible! Don't waste your time and money, 1.0,  Kyle B, https://www.rottentomatoes.com/user/id/977080436/, January 29 2018, 
 Worst movie in the Star Wars saga so many missed opportunities to expand on the force awakens and original characters while bridging to the new universe. Horrible writing., 1.0,  Wally J, https://www.rottentomatoes.com/user/id/976936882/, January 29 2018, 
 This film just as its predecessor continues to demonstrate that Disney does not understand what makes Star Wars one of the most beloved franchises in cinema history.<br><br>Disney has admitted that they did not write an overarching story for these new films. Apparently the directors are making it up as they go. Well let me tell you it really shows. From the poor writing to the cringe worthy humor to the overt political messages being shoved down the audience throat to the lack of basic character development to the numerous plot holes/contrivances or just the general lack of emotion/feeling in the story this film not only fails as a Star Wars film but as a film in general.<br><br>How this film/script was ever greenlit is beyond me. Disney should legitimately hold off on releasing any more SW's content until some major changes happen within the company. They need people in charge who understand SW and who are passionate about it. Additionally Disney needs to get the boardroom influence out of the creative process. Let the director writers and other contributors to these films breathe and create art (These films will print money regardless all that the corporate influence is doing is destroying the brand and driving away fans).<br><br>The Last Jedi is the worst SW movie by a landslide. I would rather sit in a room and watch the prequels on repeat than watch this horrendous film ever again., 1.0,  Keith F, https://www.rottentomatoes.com/user/id/977042625/, January 29 2018, 
 i hate this movie!!!, 0.5,  , https://www.rottentomatoes.com/user/id/977080424/, January 29 2018, 
 It's a great film!!! Well written with some great performances. <br>The majority of the poor reviews are written by morons if you know Star Wars there are no plot holes.<br>Haters gonna hate.<br>The trend will change and Soon it will be cool to like the film., 5.0,  , https://www.rottentomatoes.com/user/id/976928625/, January 29 2018, 
 Incredibly long drawn out and boring. This movie is just filled with political propaganda and was basically just used as a stage for Disney the director and writers to push their political agenda on the audience. Awful plot filled with holes and way too many side stories that have nothing to do with anything. This movie makes the prequels look like cinematic gold DO NOT waste your time or money on this flaming pile of garbage that boils down to nothing more than a slap in the face to Star Wars fans. This movie has filled my heart with hate for Rian Johnson Disney Daisey Ridley and Adam Driver. Pure burning HATRED!, 1.0,  Evin E, https://www.rottentomatoes.com/user/id/977080389/, January 29 2018, 
